PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
arista/eos/evpn/evpn-instances/evpn-instance/vpws/pseudowires/pseudowire/config/receive-control-word-override,leaf,read+write,enumeration,evpn-exp:control-word-override-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/pseudowires/pseudowire/config/remote-etid,leaf,read+write,uint32,etid-type,,,
arista/eos/evpn/evpn-instances/evpn-instance/vpws/pseudowires/pseudowire/config/transmit-control-word-override,leaf,read+write,enumeration,evpn-exp:control-word-override-type,,,
arista/eos/l2-protocol-forwarding/profiles/profile/name,leafref,read+write,string,,,,
arista/eos/l2-protocol-forwarding/profiles/profile/config/name,leaf,read+write,string,,,,
arista/eos/l2-protocol-forwarding/profiles/profile/state/name,leaf,read,string,,,,
arista/eos/l2-protocol-forwarding/profiles/profile/protocols/protocol/name,leafref,read+write,enumeration,l2protocolforwarding-config-exp:l2-protocol,,,
arista/eos/l2-protocol-forwarding/profiles/profile/protocols/protocol/config/action,leaf,read+write,enumeration,l2protocolforwarding-config-exp:l2-protocol-action,,,
arista/eos/l2-protocol-forwarding/profiles/profile/protocols/protocol/config/name,leaf,read+write,enumeration,l2protocolforwarding-config-exp:l2-protocol,,,
arista/eos/l2-protocol-forwarding/profiles/profile/protocols/protocol/config/tag-format,leaf,read+write,enumeration,l2protocolforwarding-config-exp:l2-protocol-tagformat,,,
arista/eos/l2-protocol-forwarding/profiles/profile/protocols/protocol/state/name,leaf,read,enumeration,l2protocolforwarding-config-exp:l2-protocol,,,
arista/eos/l2-protocol-forwarding/profiles/profile/protocols/protocol/state/tag-format,leaf,read,enumeration,l2protocolforwarding-config-exp:l2-protocol-tagformat,,,
arista/eos/mlag/config/domain-id,leaf,read+write,string,,,,
arista/eos/mlag/config/dual-primary-action,leaf,read+write,enumeration,eos:dual-primary-action-enum,,,
arista/eos/mlag/config/dual-primary-detection-delay,leaf,read+write,decimal64,eos-types:double,,,
arista/eos/mlag/config/enabled,leaf,read+write,boolean,,,,
